text,label
"The findings of the study must be approached and investigated with appropriate nuance, as fake news is a topic of much controversy.",False
I believe there are a few major topics that aren’t touched upon adequately.,True
"The questions that I wished the article answered more of was why exactly humans preferred robot assistance over a human being. It addressed this question quickly, but not in as much depth as I would’ve liked.",True
No clear statement on wether premarital sex is a sin is what opens the idea to so many different imaginations of what these scriptures are really trying to say.,False
"The article mentions the common belief, but never states where directly the bible has text relating to premarital sex, nor does have specific quotes from the bible that might sway the reader in any direction. No clear statement on wether premarital sex is a sin is what opens the idea to so many different imaginations of what these scriptures are really trying to say.",True
I wish the article would have shown more of the other sides' opinions on why AI should not be allowed in religion. ]I also wish that the article went into more depth about the process of eventually accepting and adapting to the change. ,True
A question I had about this 1972 article was “What do modern-day religious scholars think of this research?” I also wish this article addressed more about differing opinions about the new segments of Biblical scrolls. I would have liked for information on world opinions surrounding the scrolls. ,True
I wondered why Mike Pence and Trump might hold strong senses of Christian Nationalism since that was not mentioned in detail in the article. ,True
"Similarly, Mike Pence is simply interpreting the Bible and applying it to things he believes in, such that America is a Christian state. He never directly states this in the article, however I believe it can be interpreted from his remarks that he is in strong support of Christian Nationalism. Of course, Mike Pence is not writing his own gospel in which America is intertwined with teachings and stories. However, similarly to how Matthew and Luke both have their own sources, Mike Pence is using already existing gospels as his sources - his base - for his beliefs and his interpretations. In conclusion, I wondered why Mike Pence and Trump might hold strong senses of Christian Nationalism since that was not mentioned in detail in the article. Of course, personal beliefs play a factor, however those are immeasurable. What is measurable, are the voting statistics for the last election and those voters' religious affiliation. Trump held the majority over Clinton for Protestant/other Christian voters (58%) and for Catholic voters (52%, specifically white Catholic voters (60%). According to this data, I believe it can be reasoned that a potential reason for Pence and Trump's interpretation of the Bible, is to round up support for Americans who may believe similar things.",True
A question that is not answered in the article is what jobs will people need to pursue as technology continues to take jobs? ,True
 A question I had that the article left out while reading this article was how does wealth affect the religious and non-religious countries. ,True
"Some of the questions I wished the article had answered would have been ""how much more time is left in the end prophecy?"", and ""what does the declaration of Independence of Israel have to do with the end times?""",True
One big question I have that I wished the article would have answered was are there any other countries aside from Russia that have been hackers caught having involvement in trying to persuade the election?,True
A question I had while reading this article was how does wealth affect the religious and non-religious countries. What if a country is not thriving because they simply do not have any wealth in the economy?,True
"The article was unbelievably detailed and covered mostly everything you could theorize about the topic, but something that was missing was about souls being released after death and where they go.",True
"I think that I would have liked to learn a bit more about how people of other religions would react to the rest of the world becoming secular, or how that transition would even happen.",True
"Some of the questions I wished the article had answered would have been ""how much more time is left in the end prophecy?"", and ""what does the declaration of Independence of Israel have to do with the end times?""",True
One big question I have that I wished the article would have answered was are there any other countries aside from Russia that have been hackers caught having involvement in trying to persuade the election?,True
This article did not mention how the government plays a role in presenting this information or even how they go about disputing the false information.,True
Some things that I wish the article would’ve addressed is how bad is the labor shortage in japan that robots are needed to replace people? ,True
I think it is important to allow the reader to decide whether he or she thinks that religion plays an important factor when determining the meaning of life and our personal morals.,False
Although I personally agree with the statement I wish that the article would have been a lot more unbiased and would have included some of the points from the other side of the conflict.,True
I would have liked to hear the authors' opinion on this!,False
"One thing that the article could have mentioned, that it didn't, was about world tolerance.",True
I wish this article would have given me more direct references and scriptures that tell where in the bible Jesus was and/or is described.,True
"I think the article covered most topics well, but I do wish it would have included more information on what they think is to come in the future, like what will happen when we have no religion left. It is understandable as to why they did not cover this topic because we cannot know because it has not occurred yet, but a continuance of where this will take us would have been nice.",True
"The article did leave out why religion is becoming less popular, and why unaffiliating with the church is growing. ",True
I wish the article would have answered the question of how do the goods of religion outweigh the bad.,True
"After reading the article, I have some questions about how the effect of the emerging majority of nones will influence society in the future, which the article does not answer.",True
That is one question I wish they would have answered in the article. ,True
"Although these questions are theoretical I wish the article addressed them or at least something similar to them, because these questions are theoretical I do not know the answer.",True
 David failed to mention religion as a bonding experience. ,True
"If anything, the biggest thing left out of the article was any form of conflict or ideas at all. ",True
